COUNTY,REGION,DISTRICT,D_rating,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status
"'001","'07","'001902","A","CAYUGA ISD","ANDERSON","N","N","1","Meets Requirements"," "
"'001","'07","'001903","A","ELKHART ISD","ANDERSON","N","N","0","Meets Requirements"," "
"'001","'07","'001904","A","FRANKSTON ISD","ANDERSON","N","N","0","Meets Requirements","ASVAB Alternative Test Offered"
"'001","'07","'001906","A","NECHES ISD","ANDERSON","N","N","1","Meets Requirements"," "
"'001","'07","'001907","B","PALESTINE ISD","ANDERSON","N","N","0","Needs Assistance"," "
"'001","'07","'001908","B","WESTWOOD ISD","ANDERSON","N","N","0","Needs Assistance"," "
"'001","'07","'001909","B","SLOCUM ISD","ANDERSON","N","N","0","Meets Requirements"," "
"'002","'18","'002901","B","ANDREWS ISD","ANDREWS","N","N","0","Needs Assistance"," "
"'003","'07","'003801","A","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","Y","N","1","Meets Requirements"," "
"'003","'07","'003902","A","HUDSON ISD","ANGELINA","N","N","0","Meets Requirements"," "
"'003","'07","'003903","B","LUFKIN ISD","ANGELINA","N","N","1","Needs Assistance"," "
"'003","'07","'003904","B","HUNTINGTON ISD","ANGELINA","N","N","0","Needs Assistance"," "
"'003","'07","'003905","A","DIBOLL ISD","ANGELINA","N","N","0","Meets Requirements"," "
"'003","'07","'003906","B","ZAVALLA ISD","ANGELINA","N","N","0","Meets Requirements"," "
"'003","'07","'003907","A","CENTRAL ISD","ANGELINA","N","N","0","Meets Requirements"," "
"'004","'02","'004901","B","ARANSAS COUNTY ISD","ARANSAS","N","N","0","Needs Assistance"," "
"'005","'09","'005901","A","ARCHER CITY ISD","ARCHER","N","N","1","Meets Requirements"," "
"'005","'09","'005902","A","HOLLIDAY ISD","ARCHER","N","N","0","Meets Requirements"," "
"'005","'09","'005904","A","WINDTHORST ISD","ARCHER","N","N","0","Meets Requirements"," "
"'006","'16","'006902","A","CLAUDE ISD","ARMSTRONG","N","N"," ","Meets Requirements"," "
"'007","'20","'007901","B","CHARLOTTE ISD","ATASCOSA","N","N","0","Meets Requirements"," "
"'007","'20","'007902","A","JOURDANTON ISD","ATASCOSA","N","N","0","Meets Requirements"," "
"'007","'20","'007904","B","LYTLE ISD","ATASCOSA","N","N","0","Needs Assistance"," "
"'007","'20","'007905","B","PLEASANTON ISD","ATASCOSA","N","N","0","Needs Assistance"," "
"'007","'20","'007906","C","POTEET ISD","ATASCOSA","N","N","0","Needs Assistance"," "
"'008","'06","'008901","C","BELLVILLE ISD","AUSTIN","N","N","0","Needs Intervention"," "
"'008","'06","'008902","B","SEALY ISD","AUSTIN","N","N","0","Meets Requirements"," "
"'008","'06","'008903","B","BRAZOS ISD","AUSTIN","N","N","0","Meets Requirements"," "
"'009","'17","'009901","A","MULESHOE ISD","BAILEY","N","N","0","Meets Requirements"," "
"'010","'20","'010901","C","MEDINA ISD","BANDERA","N","N"," ","Meets Requirements"," "
"'010","'20","'010902","Not Rated: Senate Bill 1365","BANDERA ISD","BANDERA","N","N","0","Needs Assistance"," "
"'011","'13","'011901","C","BASTROP ISD","BASTROP","N","N","0","Needs Intervention"," "
"'011","'13","'011902","C","ELGIN ISD","BASTROP","N","N","0","Needs Intervention"," "
"'011","'13","'011904","B","SMITHVILLE ISD","BASTROP","N","N","0","Needs Assistance"," "
"'011","'13","'011905","B","MCDADE ISD","BASTROP","N","N","0","Meets Requirements"," "
"'012","'09","'012901","A","SEYMOUR ISD","BAYLOR","N","N","1","Meets Requirements"," "
"'013","'02","'013801","B","ST MARY'S ACADEMY CHARTER SCHOOL","BEE","Y","N"," ","Meets Requirements"," "
"'013","'02","'013901","B","BEEVILLE ISD","BEE","N","N","0","Needs Assistance"," "
"'013","'02","'013902","B","PAWNEE ISD","BEE","N","N"," ","Meets Requirements"," "
"'013","'02","'013903","B","PETTUS ISD","BEE","N","N","0","Meets Requirements"," "
"'013","'02","'013905","A","SKIDMORE-TYNAN ISD","BEE","N","N","0","Meets Requirements"," "
"'014","'20","'014801","C","RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN","BELL","Y","Y"," ","Needs Intervention"," "
"'014","'12","'014803","B","PRIORITY CHARTER SCHOOLS","BELL","Y","N","0","Meets Requirements"," "
"'014","'12","'014804","A","ORENDA CHARTER SCHOOL","BELL","Y","N","0","Meets Requirements"," "
"'014","'12","'014901","B","ACADEMY ISD","BELL","N","N","0","Meets Requirements"," "
"'014","'13","'014902","B","BARTLETT ISD","BELL","N","N"," ","Meets Requirements"," "
"'014","'12","'014903","B","BELTON ISD","BELL","N","N","0","Needs Assistance"," "
"'014","'12","'014905","A","HOLLAND ISD","BELL","N","N","0","Meets Requirements"," "
"'014","'12","'014906","C","KILLEEN ISD","BELL","N","N","0","Needs Assistance"," "
"'014","'12","'014907","B","ROGERS ISD","BELL","N","N","0","Meets Requirements"," "
"'014","'12","'014908","B","SALADO ISD","BELL","N","N","0","Meets Requirements"," "
"'014","'12","'014909","C","TEMPLE ISD","BELL","N","N","0","Needs Assistance"," "
"'014","'12","'014910","A","TROY ISD","BELL","N","N","0","Meets Requirements"," "
"'015","'20","'015801","B","POR VIDA ACADEMY","BEXAR","Y","Y"," ","Meets Requirements"," "
"'015","'20","'015802","B","GEORGE GERVIN ACADEMY","BEXAR","Y","N","0","Meets Requirements"," "
