NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPETDISC,Numeric,8,District 2019 DAEP: Count
DPETDISD,Numeric,8,District 2019 DAEP: Denominator
DPETDISP,Numeric,8,District 2019 DAEP: Percent
DPERRA1R,Numeric,8,District 2019 Retention: Regular Ed 01 Rate
DPERRA2R,Numeric,8,District 2019 Retention: Regular Ed 02 Rate
DPERRA3R,Numeric,8,District 2019 Retention: Regular Ed 03 Rate
DPERRA4R,Numeric,8,District 2019 Retention: Regular Ed 04 Rate
DPERRA5R,Numeric,8,District 2019 Retention: Regular Ed 05 Rate
DPERRA6R,Numeric,8,District 2019 Retention: Regular Ed 06 Rate
DPERRA7R,Numeric,8,District 2019 Retention: Regular Ed 07 Rate
DPERRA8R,Numeric,8,District 2019 Retention: Regular Ed 08 Rate
DPERRA9R,Numeric,8,District 2019 Retention: Regular Ed 09 Rate
DPERRAKR,Numeric,8,District 2019 Retention: Regular Ed KG Rate
DPERSA1R,Numeric,8,District 2019 Retention: Special Ed 01 Rate
DPERSA2R,Numeric,8,District 2019 Retention: Special Ed 02 Rate
DPERSA3R,Numeric,8,District 2019 Retention: Special Ed 03 Rate
DPERSA4R,Numeric,8,District 2019 Retention: Special Ed 04 Rate
DPERSA5R,Numeric,8,District 2019 Retention: Special Ed 05 Rate
DPERSA6R,Numeric,8,District 2019 Retention: Special Ed 06 Rate
DPERSA7R,Numeric,8,District 2019 Retention: Special Ed 07 Rate
DPERSA8R,Numeric,8,District 2019 Retention: Special Ed 08 Rate
DPERSA9R,Numeric,8,District 2019 Retention: Special Ed 09 Rate
DPERSAKR,Numeric,8,District 2019 Retention: Special Ed KG Rate
DAUND19C,Numeric,8,District 2019 Underreported Students: Count
DAUND19D,Numeric,8,District 2019 Underreported Students: Gr. 7-12 Total
DAUND19R,Numeric,8,District 2019 Underreported Students: Rate
DPCTG01C,Numeric,8,District 2020 Class Size: Grade 1     - # Classes
DPCTG01S,Numeric,8,District 2020 Class Size: Grade 1     - # Students
DPCTG01A,Numeric,8,District 2020 Class Size: Grade 1     - Avg Size
DPCTG02C,Numeric,8,District 2020 Class Size: Grade 2     - # Classes
DPCTG02S,Numeric,8,District 2020 Class Size: Grade 2     - # Students
DPCTG02A,Numeric,8,District 2020 Class Size: Grade 2     - Avg Size
DPCTG03C,Numeric,8,District 2020 Class Size: Grade 3     - # Classes
DPCTG03S,Numeric,8,District 2020 Class Size: Grade 3     - # Students
DPCTG03A,Numeric,8,District 2020 Class Size: Grade 3     - Avg Size
DPCTG04C,Numeric,8,District 2020 Class Size: Grade 4     - # Classes
DPCTG04S,Numeric,8,District 2020 Class Size: Grade 4     - # Students
DPCTG04A,Numeric,8,District 2020 Class Size: Grade 4     - Avg Size
DPCTG05C,Numeric,8,District 2020 Class Size: Grade 5     - # Classes
DPCTG05S,Numeric,8,District 2020 Class Size: Grade 5     - # Students
DPCTG05A,Numeric,8,District 2020 Class Size: Grade 5     - Avg Size
DPCTG06C,Numeric,8,District 2020 Class Size: Grade 6     - # Classes
DPCTG06S,Numeric,8,District 2020 Class Size: Grade 6     - # Students
